Trial,Alpha,Gamma,Epsilon,Recompensa promedio,Mejor
0,0.3246350035147274,0.7238048599467474,0.7570423831426218,-411.68,No
1,0.18492200013107682,0.73464612991902,0.10563177746561202,11.44,No
2,0.11200346777942544,0.9769747137991406,0.8328446526893447,-607.56,No
3,0.4691335300691972,0.9602164016218389,0.250249218426978,-12.12,No
4,0.1084475880691913,0.8757428203468782,0.24155535249667245,-18.5,No
5,0.22240034961041333,0.8381332030261759,0.7729522761741561,-469.37,No
6,0.19845087763870362,0.9883713274710286,0.5525014014746942,-113.68,No
7,0.3231335616465573,0.9442926528906898,0.36692337794385366,-36.72,No
8,0.27451541676081614,0.8785228327661497,0.7235464657598136,-281.6,No
9,0.10367825218160011,0.7357821895749217,0.2383109850698999,-24.24,No
10,0.14987332891374974,0.7851782152791622,0.12448049951240239,7.98,No
11,0.15992296749161325,0.7833448756743021,0.1205573957315353,7.52,No
12,0.15342283514781357,0.7833917635851632,0.10346911725215052,12.31,No
13,0.15356651427873527,0.773624639697081,0.45902458169581084,-80.36,No
14,0.17888876435529427,0.7142516546347666,0.961917573201482,-1168.58,No
15,0.1409213514874733,0.8232775308587477,0.37086753483671736,-44.95,No
16,0.25150286508995384,0.754345051922885,0.1042471405903558,13.44,No
17,0.2599554033948247,0.8117877374116513,0.5810191232631451,-137.27,No
18,0.45765892372157085,0.7513127141369671,0.332867264203759,-34.15,No
19,0.12719297752737918,0.7018572938722535,0.1949445297293847,-12.59,No
20,0.35582001160169613,0.8708794067993307,0.43275189504539807,-58.44,No
21,0.19190280001570853,0.7576480518517482,0.10941356188794807,13.83,No
22,0.2444956599171891,0.7646067786005497,0.1794793409157957,1.53,No
23,0.20506649626537723,0.8018588826275886,0.2957089649531314,-24.44,No
24,0.1756803562400644,0.749305773082437,0.15021864514082403,0.06,No
25,0.22967319612937132,0.7986676695003909,0.19636910168070926,-6.52,No
26,0.2879208432524368,0.7594775784837204,0.2739251063262033,-18.99,No
27,0.12800163515739607,0.8378118913107714,0.4340903568499009,-58.59,No
28,0.21525986452459864,0.7003992514930024,0.10235143528575047,11.97,No
29,0.32139876621342,0.7276031353795254,0.6072010766529821,-192.37,No
30,0.3869885901801506,0.8541318973527143,0.19564416571769508,-5.2,No
31,0.21491749782303116,0.7073073721345093,0.12845016291727163,4.79,No
32,0.1914547149246857,0.7266195909591604,0.16095742794934983,0.04,No
33,0.1705844687608872,0.7430638486353561,0.11629060822036591,12.25,No
34,0.1696783000642087,0.7443187032667641,0.10033114517522829,11.28,No
35,0.13189503468048033,0.7743207328670455,0.23002610083175107,-14.51,No
36,0.11840603283425427,0.7877329688332779,0.3122688051323474,-35.76,No
37,0.16442465462902123,0.762169753394792,0.6574660946344976,-217.1,No
38,0.1884236473859807,0.7291246712407196,0.4894934512625448,-100.52,No
39,0.14262263026975483,0.9144791962506689,0.23486186133607467,-7.36,No
40,0.2450811453010716,0.8158122685898579,0.9497558830453905,-1193.52,No
41,0.21118040050491804,0.7126395222174504,0.10281174004756795,12.13,No
42,0.2001752303283871,0.7398228319277598,0.15966418774690222,1.29,No
43,0.23426852698834505,0.7176182696908939,0.2138194980490487,-6.11,No
44,0.2629117008869385,0.7528289702683876,0.15541802514132846,0.98,No
45,0.29509566608517235,0.7717078575949736,0.1037749141250452,12.26,No
46,0.29605136037890256,0.7773576157584856,0.2707145615236711,-22.55,No
47,0.30433768444615644,0.799361486564789,0.344923935464045,-35.41,No
48,0.35483305444567953,0.7674625557599334,0.8280048994219313,-640.67,No
49,0.26795579561393074,0.8276083693105121,0.14287762398793794,7.31,No
50,0.15893669299786092,0.7850075020508206,0.26082187513271826,-15.97,No
51,0.208868855908637,0.7382576784723602,0.10378107462218325,11.68,No
52,0.18247117919845163,0.7167785934321442,0.1377396143068021,7.6,No
53,0.23766836000587124,0.737666382469448,0.17922919313760646,-0.66,No
54,0.14220122036831553,0.7530002552572309,0.2182585554605163,-14.18,No
55,0.17269997073933302,0.7138565658644169,0.12917326319528982,5.29,No
56,0.14918642311606511,0.7601170560961625,0.180691510106489,5.93,No
57,0.19526171363465528,0.7724413905872677,0.10228056424389721,12.69,No
58,0.19497570677113973,0.7950119215474002,0.17569900921401105,-6.8,No
59,0.2232628496289682,0.7757124615818981,0.14125057002921237,8.66,No
60,0.2481784805284534,0.8083898399859822,0.2520204730780438,-14.82,No
61,0.18390308414146295,0.7691108412505319,0.10092690013474176,12.73,No
62,0.15926085221220443,0.7683551564983945,0.12439853895604097,6.78,No
63,0.175542500100203,0.7901935096843317,0.20609411248963588,-1.84,No
64,0.2844374021656047,0.7534153302740029,0.10269383500520159,12.14,No
65,0.18580637807740105,0.7801789999941555,0.16522225575241548,-0.45,No
66,0.16598439619931912,0.7464673944403443,0.12690912562023737,8.91,No
67,0.15220192917796463,0.7319989881075752,0.29207090741545544,-29.37,No
68,0.19981891681253408,0.771139364051901,0.20029744951501594,-9.36,No
69,0.25383646219525613,0.7601492062244268,0.1511072170148526,4.97,No
70,0.22383891963775837,0.9120313575781689,0.23765812666127045,-5.68,No
71,0.28422930616862274,0.7538577261034556,0.10266976932732749,11.74,No
72,0.3726618823342796,0.7495919188176804,0.10039285138041355,14.08,No
73,0.4397766023034369,0.743541301027704,0.12086276682176621,11.65,No
74,0.404845641197644,0.7891333924705086,0.16842256838113162,7.14,No
75,0.35144493954572964,0.7254268990036961,0.1414424877035034,6.8,No
76,0.19125984243617883,0.7625132724217769,0.1883485590270457,-1.81,No
77,0.3246585124853984,0.7789882191540322,0.7051923736280088,-293.54,No
78,0.17963270761733785,0.8075448120537859,0.12092586667523066,10.93,No
79,0.20427777331678276,0.7689582549701175,0.15937935916148988,5.81,No
80,0.41731381384737726,0.7463358752143584,0.4036273616099506,-70.34,No
81,0.33615053522347416,0.753294899953926,0.10219801707276086,11.34,No
82,0.37861972734345434,0.7338644720299569,0.12085781521146036,6.52,No
83,0.47678182813356706,0.7580785917843317,0.14138078472703625,7.77,No
84,0.29959427651740567,0.7216497346770478,0.2202507890310898,-11.91,No
85,0.27727940676458895,0.7940863213421461,0.10110448454668099,16.27,Yes
86,0.2764542432605397,0.8187786563262429,0.5142171216262243,-92.49,No
87,0.2173521359071316,0.7915957602294869,0.19058963443549176,-0.18,No
88,0.13542527633661236,0.802487398673102,0.15801280055074152,3.69,No
89,0.2356555500585902,0.8312300902396134,0.12359201152750199,11.25,No
90,0.12030321686960639,0.782674044559864,0.17544158388995618,2.2,No
91,0.3095797114308429,0.7721057702864468,0.10139252091164937,8.81,No
92,0.2751228001078071,0.7402167318421624,0.14516245112035625,6.83,No
93,0.2929867325626577,0.7486158786219492,0.11547191133689672,12.22,No
94,0.2604102130128551,0.7674009825870137,0.12283416581757622,8.56,No
95,0.31441354124333964,0.7491748632645864,0.15252180965480583,-0.74,No
96,0.16811241350507602,0.7748792779411898,0.9993087420539679,-1295.7,No
97,0.14694531862179958,0.960171599152506,0.13514802421548713,7.16,No
98,0.338731612668487,0.8506676624732445,0.21058067911405431,-7.03,No
99,0.29207220442614895,0.7636262420538794,0.16992470316295802,2.53,No
